
Qualification statistics
========================
Population: "RM
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 56.52
                StdDev :  2.42
Average correctness    : 1.331852
                StdDev : 0.109401


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|         78( 78)    | + |         0        |        98.21        |         634.0             |       634.4     |  8.031( 0.4%)  |
|         79( 79)    | + |         0        |        98.06        |         634.0             |       633.9     |  8.090( 0.4%)  |
|         80( 80)    | + |         0        |        97.92        |         633.0             |       633.4     |  8.071( 0.4%)  |
|         81( 81)    | + |         0        |        97.78        |         633.0             |       633.0     |  8.130( 0.5%)  |
|         82( 82)    | + |         0        |        97.64        |         632.0             |       632.5     |  8.144( 0.5%)  |
|         83( 83)    | + |         0        |        97.49        |         632.0             |       631.9     |  8.185( 0.5%)  |
|         84( 84)    | + |         0        |        97.35        |         631.0             |       631.4     |  8.192( 0.5%)  |
|         85( 85)    | + |         0        |        97.21        |         631.0             |       630.9     |  8.214( 0.5%)  |
|         86( 86)    | + |         0        |        97.07        |         630.0             |       630.5     |  8.269( 0.5%)  |
|         87( 87)    | + |         0        |        96.92        |         630.0             |       630.0     |  8.307( 0.5%)  |
|         88( 88)    | + |         0        |        96.78        |         629.0             |       629.4     |  8.325( 0.5%)  |
|         89( 89)    | + |         0        |        96.64        |         629.0             |       628.9     |  8.333( 0.5%)  |
|         90( 90)    | + |         0        |        96.50        |         628.0             |       628.4     |  8.367( 0.5%)  |
|         91( 91)    | + |         0        |        96.35        |         628.0             |       627.9     |  8.444( 0.5%)  |
|         92( 92)    | + |         0        |        96.21        |         627.0             |       627.4     |  8.449( 0.5%)  |
|         93( 93)    | + |         0        |        96.07        |         627.0             |       626.9     |  8.473( 0.5%)  |
|         94( 94)    | + |         0        |        95.93        |         626.0             |       626.4     |  8.512( 0.5%)  |
|         95( 95)    | + |         0        |        95.78        |         626.0             |       626.0     |  8.521( 0.5%)  |
|         96( 96)    | + |         0        |        95.64        |         625.0             |       625.4     |  8.586( 0.5%)  |
|         97( 97)    | + |         0        |        95.50        |         625.0             |       624.8     |  8.606( 0.5%)  |
|         98( 98)    | + |         0        |        95.36        |         624.0             |       624.4     |  8.608( 0.5%)  |
|         99( 99)    | + |         0        |        95.21        |         624.0             |       623.8     |  8.642( 0.5%)  |
|        100(100)    | + |         0        |        95.07        |         623.0             |       623.3     |  8.725( 0.5%)  |
|        101(101)    | + |         0        |        94.93        |         623.0             |       622.8     |  8.707( 0.5%)  |
|        102(102)    | + |         0        |        94.79        |         622.0             |       622.3     |  8.750( 0.5%)  |
|        103(103)    | + |         0        |        94.64        |         622.0             |       621.8     |  8.779( 0.5%)  |
|        104(104)    | + |         0        |        94.50        |         621.0             |       621.2     |  8.832( 0.5%)  |

Qualification statistics
========================
Population: "RM
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 60 arrows (q_rm_60a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 61.14
                StdDev :  2.23
Average correctness    : 1.437912
                StdDev : 0.117993


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|--------------------+---+------------------+---------------------+---------------------------+-----------------+---------------|
|          1(  1)    | + |         0        |       117.00        |         580.0             |       580.5     |  3.822( 0.3%)  |
|          2(  2)    | + |         0        |       116.33        |         580.0             |       579.6     |  3.891( 0.3%)  |
|          3(  3)    | + |         0        |       115.67        |         579.0             |       578.6     |  3.967( 0.3%)  |
|          4(  5)    | + |         0        |       115.00        |         578.0             |       577.7     |  4.013( 0.3%)  |
|          5(  4)    | + |         0        |       115.00        |         578.0             |       577.7     |  4.045( 0.3%)  |
|          6(  6)    | + |         0        |       113.53        |         576.0             |       575.5     |  4.198( 0.4%)  |
|          7(  7)    | + |         0        |       112.07        |         573.0             |       573.3     |  4.332( 0.4%)  |
|          8(  9)    | + |         0        |       110.60        |         571.0             |       571.0     |  4.500( 0.4%)  |
|          9(  8)    | + |         0        |       110.60        |         571.0             |       571.0     |  4.522( 0.4%)  |
|         10( 10)    | + |         0        |       110.11        |         570.0             |       570.2     |  4.569( 0.4%)  |
|         11( 11)    | + |         0        |       109.63        |         569.0             |       569.3     |  4.618( 0.4%)  |
|         12( 12)    | + |         0        |       109.14        |         569.0             |       568.5     |  4.671( 0.4%)  |
|         13( 13)    | + |         0        |       108.66        |         568.0             |       567.7     |  4.728( 0.4%)  |
|         14( 14)    | + |         0        |       108.17        |         567.0             |       566.9     |  4.783( 0.4%)  |
|         15( 15)    | + |         0        |       107.69        |         566.0             |       566.0     |  4.848( 0.4%)  |
|         16( 16)    | + |         0        |       107.20        |         565.0             |       565.1     |  4.902( 0.4%)  |
|         17( 17)    | + |         0        |       107.20        |         565.0             |       565.1     |  4.908( 0.4%)  |
|         18( 18)    | + |         0        |       107.05        |         565.0             |       564.9     |  4.921( 0.4%)  |
|         19( 19)    | + |         0        |       106.91        |         565.0             |       564.6     |  4.956( 0.4%)  |
|         20( 20)    | + |         0        |       106.76        |         564.0             |       564.4     |  4.943( 0.4%)  |
|         21( 21)    | + |         0        |       106.61        |         564.0             |       564.1     |  4.952( 0.4%)  |
|         22( 22)    | + |         0        |       106.47        |         564.0             |       563.8     |  5.000( 0.4%)  |
|         23( 23)    | + |         0        |       106.32        |         564.0             |       563.6     |  5.007( 0.4%)  |
|         24( 24)    | + |         0        |       106.17        |         563.0             |       563.3     |  5.008( 0.4%)  |
|         25( 25)    | + |         0        |       106.03        |         563.0             |       563.0     |  5.055( 0.4%)  |
|         26( 26)    | + |         0        |       105.88        |         563.0             |       562.7     |  5.059( 0.4%)  |
|         27( 27)    | + |         0        |       105.73        |         562.0             |       562.5     |  5.099( 0.4%)  |
|         28( 28)    | + |         0        |       105.59        |         562.0             |       562.2     |  5.124( 0.4%)  |
|         29( 29)    | + |         0        |       105.44        |         562.0             |       561.9     |  5.110( 0.4%)  |
|         30( 30)    | + |         0        |       105.29        |         562.0             |       561.6     |  5.145( 0.4%)  |
|         31( 31)    | + |         0        |       105.15        |         561.0             |       561.4     |  5.157( 0.4%)  |
|         32( 32)    | + |         0        |       105.00        |         561.0             |       561.1     |  5.177( 0.4%)  |
|         33( 33)    | + |         0        |       105.00        |         561.0             |       561.1     |  5.171( 0.4%)  |
|         34( 34)    | + |         0        |       104.83        |         561.0             |       560.8     |  5.195( 0.4%)  |
|         35( 35)    | + |         0        |       104.67        |         560.0             |       560.4     |  5.213( 0.4%)  |
|         36( 36)    | + |         0        |       104.50        |         560.0             |       560.1     |  5.238( 0.4%)  |
|         37( 37)    | + |         0        |       104.34        |         560.0             |       559.8     |  5.264( 0.4%)  |
|         38( 38)    | + |         0        |       104.17        |         559.0             |       559.5     |  5.290( 0.4%)  |
|         39( 39)    | + |         0        |       104.01        |         559.0             |       559.2     |  5.294( 0.4%)  |
|         40( 40)    | + |         0        |       103.84        |         559.0             |       558.8     |  5.308( 0.4%)  |
|         41( 41)    | + |         0        |       103.68        |         559.0             |       558.5     |  5.323( 0.4%)  |
|         42( 42)    | + |         0        |       103.51        |         558.0             |       558.2     |  5.362( 0.4%)  |
|         43( 43)    | + |         0        |       103.35        |         558.0             |       557.8     |  5.390( 0.4%)  |
|         44( 44)    | + |         0        |       103.18        |         558.0             |       557.5     |  5.408( 0.4%)  |
|         45( 45)    | + |         0        |       103.02        |         557.0             |       557.2     |  5.413( 0.4%)  |
|         46( 46)    | + |         0        |       102.85        |         557.0             |       556.9     |  5.441( 0.4%)  |
|         47( 47)    | + |         0        |       102.69        |         557.0             |       556.5     |  5.465( 0.4%)  |
|         48( 48)    | + |         0        |       102.52        |         556.0             |       556.2     |  5.513( 0.4%)  |
|         49( 49)    | + |         0        |       102.36        |         556.0             |       555.9     |  5.510( 0.4%)  |
|         50( 50)    | + |         0        |       102.19        |         556.0             |       555.5     |  5.544( 0.4%)  |
|         51( 51)    | + |         0        |       102.03        |         555.0             |       555.2     |  5.538( 0.4%)  |
|         52( 52)    | + |         0        |       101.86        |         555.0             |       554.8     |  5.594( 0.4%)  |
|         53( 53)    | + |         0        |       101.70        |         554.0             |       554.5     |  5.616( 0.4%)  |
|         54( 54)    | + |         0        |       101.53        |         554.0             |       554.1     |  5.613( 0.4%)  |
|         55( 55)    | + |         0        |       101.37        |         554.0             |       553.8     |  5.653( 0.4%)  |
|         56( 57)    | + |         0        |       101.20        |         553.0             |       553.4     |  5.683( 0.4%)  |
|         57( 56)    | + |         0        |       101.20        |         553.0             |       553.4     |  5.707( 0.4%)  |
|         58( 58)    | + |         0        |       101.06        |         553.0             |       553.1     |  5.680( 0.4%)  |
|         59( 59)    | + |         0        |       100.91        |         553.0             |       552.8     |  5.703( 0.4%)  |
|         60( 60)    | + |         0        |       100.77        |         553.0             |       552.5     |  5.727( 0.4%)  |
|         61( 61)    | + |         0        |       100.63        |         552.0             |       552.2     |  5.776( 0.4%)  |
|         62( 62)    | + |         0        |       100.49        |         552.0             |       552.0     |  5.784( 0.4%)  |
|         63( 63)    | + |         0        |       100.34        |         552.0             |       551.6     |  5.784( 0.4%)  |
|         64( 64)    | + |         0        |       100.20        |         551.0             |       551.3     |  5.811( 0.4%)  |
